"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023120307,2023,"REG",13,59361,"12/03/2023","16:05:00",NULL,"2120","1400","HOU","DEN","Houston Texans","Denver Broncos","Texans","Broncos",3698,"Houston","NRG Stadium","TX","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023091706,2023,"REG",2,59196,"09/17/2023","13:00:00",NULL,"4900","0810","TB","CHI","Tampa Bay Buccaneers","Chicago Bears","Buccaneers","Bears",3697,"Tampa","Raymond James Stadium","FL","OUTDOOR","FOX","00:00","FINAL","FINAL",17,7,3,0,7,0,1,27,3,10,7,7,0,3,NULL,"-2.5","40.5"
2023112605,2023,"REG",12,59346,"11/26/2023","13:00:00",NULL,"2100","0750","TEN","CAR","Tennessee Titans","Carolina Panthers","Titans","Panthers",2350,"Nashville","Nissan Stadium","TN","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023091004,2023,"REG",1,59178,"09/10/2023","13:00:00",NULL,"3000","4900","MIN","TB","Minnesota Vikings","Tampa Bay Buccaneers","Vikings","Buccaneers",1652,"Minneapolis","U.S. Bank Stadium","MN","INDOOR","CBS","00:00","FINAL","FINAL",20,3,7,7,3,0,1,17,0,10,0,7,0,0,NULL,"-4.5","45.5"
2023091013,2023,"REG",1,59187,"09/10/2023","20:20:00",NULL,"3410","1200","NYG","DAL","New York Giants","Dallas Cowboys","Giants","Cowboys",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","NBC","00:00","FINAL","FINAL",40,16,10,7,7,0,2,0,0,0,0,0,0,3,NULL,"3.5","45.5"
2023091711,2023,"REG",2,59201,"09/17/2023","16:25:00",NULL,"1400","5110","DEN","WAS","Denver Broncos","Washington Commanders","Broncos","Commanders",5786,"Denver","Empower Field at Mile High","CO","OUTDOOR","CBS","00:00","FINAL","FINAL",35,3,11,7,14,0,1,33,14,7,3,9,0,0,NULL,"-4.5","39.5"
2023092500,2023,"REG",3,59219,"09/25/2023","19:15:00",NULL,"4900","3700","TB","PHI","Tampa Bay Buccaneers","Philadelphia Eagles","Buccaneers","Eagles",3697,"Tampa","Raymond James Stadium","FL","OUTDOOR","ABC","00:00","FINAL","FINAL",25,3,10,9,3,0,2,11,0,3,0,8,0,2,NULL,"5.5","44.5"
2023100810,2023,"REG",5,59248,"10/08/2023","16:25:00",NULL,"3000","2310","MIN","KC","Minnesota Vikings","Kansas City Chiefs","Vikings","Chiefs",1652,"Minneapolis","U.S. Bank Stadium","MN","INDOOR","CBS","00:00","FINAL","FINAL",27,7,6,14,0,0,3,20,3,10,0,7,0,0,NULL,"3.5","52.5"
2023101506,2023,"REG",6,59258,"10/15/2023","13:00:00",NULL,"2250","2200","JAX","IND","Jacksonville Jaguars","Indianapolis Colts","Jaguars","Colts",2049,"Jacksonville","TIAA Bank Field","FL","OUTDOOR","CBS","00:00","FINAL","FINAL",20,3,3,0,14,0,0,37,0,21,10,6,0,3,NULL,"-3.5","44.5"
2023101509,2023,"REG",6,59261,"10/15/2023","16:05:00",NULL,"2520","3200","LV","NE","Las Vegas Raiders","New England Patriots","Raiders","Patriots",1510,"Paradise","Allegiant Stadium","NV","INDOOR","CBS","00:00","FINAL","FINAL",17,0,3,7,7,0,0,21,3,10,3,5,0,2,NULL,"-2.5","41.5"
